name ,mood,year,artist,lyrics
Saranga Dariya,Upbeat,2021,Mangli,"దాని కుడీ భుజం మీద కడవా, దాని గుత్తెపు రైకలు మెరియా. అది రమ్మంటె రాదురా సెలియా, దాని పేరే సారంగ దరియా. దాని ఎడం భుజం మీద కడవా, దాని యెజెంటు రైకలు మెరియా. అది రమ్మంటె రాదురా సెలియా, దాని పేరే సారంగ దరియా. కాళ్ళకు ఎండీ గజ్జెల్ లేకున్నా నడిస్తే ఘల్ ఘల్. కొప్పులో మల్లే దండల్ లేకున్నా చెక్కిలి గిల్ గిల్. నవ్వుల లేవుర ముత్యాల్ అది నవ్వితే వస్తాయ్ మురిపాల్. నోట్లో సున్నం కాసుల్ లేకున్నా తమల పాకుల్. మునిపంటితో మునిపంటితో మునిపంటితో నొక్కితే పెదవుల్. ఎర్రగా అయితదిర మన దిల్. చురియా చురియా చురియా అది సుర్మా పెట్టిన చురియా. అది రమ్మంటె రాదురా సెలియా, దాని పేరే సారంగ దరియా. దాని కుడీ భుజం మీద కడవా, దాని గుత్తెపు రైకలు మెరియా. అది రమ్మంటె రాదురా సెలియా, దాని పేరే సారంగ దరియా. దాని ఎడం భుజం మీద కడవా, దాని యెజెంటు రైకలు మెరియా. అది రమ్మంటె రాదురా సెలియా, దాని పేరే సారంగ దరియా."
Aakasam Bhadhalaina,Upbeat,2011," Megha,Sagar","ఆకాశం బద్దలైన సౌండు గుండెలోన మోగుతుంది నిను కలిసాక, మేఘాలే గుద్దుకున్న లైటు కళ్ళలోన చేరుకుంది నిన్ను కలిసాక. రయ్ రయ్ రయ్ రైడు చేసేయి రాకెట్ ల మనసుని, సై సై సై సైడు చేసేయి సిగ్నల్స్ తో ఎం పని. ఇక హైవే లైన వన్ వెలైన కదలేదేం బండి తేరే బినా. ఆకాశం బద్దలైన సౌండు గుండెలోన మోగుతుంది నిను కలిసాక, మేఘాలే గుద్దుకున్న లైటు కళ్ళలోన చేరుకుంది నిన్ను కలిసాక. పార్టీల ఉంది నీతోటి ప్రతి క్షణం ఎందుకంటే చెప్పలేను కారణం, టేస్టీ గ ఉంది నువ్ చెప్పే ప్రతి పదం బాగుందబ్బా మాటల్లోనే ముంచడం. హే, రోలరు కోఆస్టర్ ఎంతున్నా ఈ థ్రిల్లిస్తుందా జానా, నీతో పాటు తిరగేస్తుంటే జోరేయ్ తగ్గేనా. కార్టూన్ ఛానల్ -లో నైనా ఈ ఫన్ ఉందా బొలోనా, నీతో పాటు గడిపేస్తుంటే టైమే తెలిసేనా. ఇక సల్సా లైన సాంబ లైన కదలాదే వొళ్ళు తేరే బినా. ఆకాశం బద్దలైన సౌండు గుండెలోన మోగుతుంది నిను కలిసాక, మేఘాలే గుద్దుకున్న లైటు కళ్ళలోన చేరుకుంది నిన్ను కలిసాక. ఆన్లైన్ లో నువ్వు హాయ్ అంటే న మది క్లౌడ్ నైన్ లోకి నన్ను తోస్తది, ఆఫ్ లైన్ లో నువ్వు ఉన్నావంటే మది కోల్ మైన్ లోకి దూరేస్"
Mirchi,Upbeat,2013,Chinnaponnu,"మిర్చి మిర్చి మిర్చి మిర్చి, మిర్చి లాంటి కుర్రాడే. ఆ మిర మిర మీసం తిప్పి, మిసైల్ అల్లే దూకాడే. ఆ నిప్పుకు మల్లే నికార్సైన ఆకారం, అడుగెట్టిన చోట అదిరిపొద్ది గుడారం. అబ్బా ఇప్పటికన్నా మొదలవ్‌తాది యవ్వరం, ఇది చెప్పుడు చాలు దుమ్మొ దుమ్మొ దుమ్మారమ్. మిర్చి మిర్చి మిర్చి మిర్చి, మిర్చి లాంటి కుర్రాడే. మిర్చి మిర్చి మిర్చి మిర్చి, ఆ మిర్చి మిర్చి మిర్చి మిర్చి, మిర్చి లాంటి కుర్రాడే. ఆడెక్కడెక్కడ వెళ్లాడో బంగారం, గుండెలు తట్టి మోగిస్తాడు అలారాం. ఏ దిక్కులు ముట్టి పుట్టిస్తాడో కల్లోలం, ఎన్ని లెక్కలు వేసి ఎవ్వరం మాత్రం చెప్పగలం."
Raakasi Raakasi,Upbeat,2014,Suchith Suresan,"రాకాసి రాకాసి నను రబ్బర్ బంతిలా ఎగరేసి, పారేసి పారేసి నువ్వు వెల్లకే నవ్వులు విసిరేసి. రాకాసి రాకాసి నను రబ్బర్ బంతిలా ఎగరేసి, తుంతుంతా చీకు తుంతుంతా చీకు, తుంతుంతా తుకు తుంతుంతాకుతుం. అచ్చ తెలుగు ఆడపిల్లల ఎహ్, కొత్త కొత్త ఆవకాయలా ఎహ్. జున్ను ముక్క మాటతోటి ఉక్కులాంటి పిల్లగాన్ని తిప్పమాకే కుక్క పిల్లలా. అచ్చ తెలుగు ఆడపిల్లల ఎహ్, కొత్త కొత్త ఆవకాయలా. నువ్వు లేని జీవితం రంగు లేని నాటకం, సప్పగున్న ఉప్పులేని సేపకూర వంటకం. నువ్వు లేని జీవితం బైక్ లేని యవ్వనం, గర్ల్స్ లేని పబ్ లోన తప్పు డాన్స్ చెయ్యడం. కుండ బద్దలవ్వడం అప్పడం విరగడంలా. రాకాసి రాకాసి నను రబ్బర్ బంతిలా ఎగరేసి, పారేసి పారేసి నువ్వు వెల్లకే నవ్వులు విసిరేసి. హే ప్రేమలేఖ రాసుకున్నా, ఈ గాలి లోన నీరులోనా నువ్వు వేళ్ళు. దార"
Neethoney Dance,Upbeat,2016,"Hiphop Tamizha,Nikhita Gandhi",అణువణువునా పొంగించవోయ్ ప్రేమ రివర్ ఓకే గణ గణ గణ మోగించవోయ్ ప్యార్ బజార్ నీతోనే డాన్స్ టునైట్ నీతోనే డాన్స్ ఫర్ లైఫ్ నీతోనే పార్టీ ఫుల్ నైట్ అహ్హ్ వన్ మోర్ టైం నీతోనే డాన్స్ టునైట్ నీతోనే డాన్స్ ఫర్ లైఫ్ నీతోనే పార్టీ ఫుల్ నైట్ అహ్హ్ నీతోనే డాన్స్ టునైట్ నీతోనే డాన్స్ ఫర్ లైఫ్ నీతోనే పార్టీ ఫుల్ నైట్ అహ్హ్ వన్ మోర్ టైం నీతోనే డాన్స్ టునైట్ నీతోనే డాన్స్ ఫర్ లైఫ్ నీతోనే పార్టీ ఫుల్ నైట్ అహ్హ్ ఎవేరిబోడి తు ఏక్ మెయిన్ ఏక్ చేరిన వేళా సే వై డూ దిల్ డూ దిల్ చేసెను గోల సే వై తీన్ బార్ టీన్ బార్ తుంటరి డోలా సే వై చార్ పాంచ్ అయ్యేలా థాట్ స్ వై నౌ షేక్ యువర్ బాడీ బేబీ అః లెట్స్ మేక్ థిస్ క్లబ్ గో క్రేజీ గాడ్ యువర్ లూకింగ్ ఫెంటాస్టిక్ యువర్ స్మైల్ ఇస్ లెమ్మీ టేస్ట్ ఇట్ పార్టీ ఇది ప్రేమల పార్టీ జోడి నువ్వు నేనొక జోడి ఆది పడేదం మెలోడీ వన్ మోర్ టైం పార్టీ ఇది ప్రేమల పార్టీ జోడి నువ్వు నేనొక జోడి ఆడి పాడేదం మెలోడీ థాట్స్ రైట్ పార్టీ జోడి ఆడి థాట్స్ రైట్ నీతోనే డాన్స్ టునైట్ నీతోనే డాన్స్ ఫర్ లైఫ్ నీతోనే పార్టీ ఫుల్ నైట్ అహ్హ్ వన్ మోర్ టైం నీతోనే డాన్స్ టునైట్ నీతోనే డాన్స్ ఫర్ లైఫ్ నీతోనే పార్టీ ఫుల్ నైట్ అహ్హ్ నీతోనే డాన్స్ టునైట్ నీతోనే డాన్స్ ఫర్ లైఫ్ నీతోనే పార్టీ ఫుల్ నైట్ అహ్హ్ ఎవేరిబోడి
Choodandi Saaru,Upbeat,2014,Hemachandra,"చూడండి సారు మన సూపర్ స్టారు, కుమ్మేస్తన్నారు వన్ సైడు ప్యారు, ఎర్రబసే ఎగురున ఐఫిల్ టవరే వొంగునా, రేల్వే ట్రాకు పై ఎరోప్లెయినే తిరుగునా, తిరుగున...తిరుగున...తిరుగున....తిరుగున, అయ్యో చూడండి సారు మన సూపర్ స్టారు, వేసేస్తున్నారు రొమాంటిక్ గేరు. టెడ్డీ బేర్ పలుకునా బార్బీ డాల్ పాడునా, రేయిన్ బో రంగులో బ్లాక్ కలర్ దొరుకునా, దొరుకున... దొరుకున...... దొరుకున..... దొరుకున, అహా చూడండి సారు మన సూపర్ స్టారు, దుమ్ము లేపేస్తున్నారు లవ్ మాగ్నెటిక్ పవరూ, గూగుల్ గాల్లో కలిసినా, ఫేస్బుక్ షటరే మూసిన అరెరె రఘువర, నీ లవ్వే గెలుచునా సిమ్ కార్డే లేనిదే సెల్ ఫోను మోగునా, బిబిసి ఛానల్లో చిత్రహార్ చూపునా, సండే రోజున గుడ్ ఫ్రైడే వచ్చునా, అరెరె రఘువరా నీ లవ్వే గెలుచున."
Nippulanti Nirudhyogi,Upbeat,2014,L.V.Revanth,"నిప్పులాంటి నిరుద్యోగి తలచుకుంటే తారుమారే నేలా నింగి, నిప్పులాంటి నిరుద్యోగి గెలుపు జెండా ఎగురవెయ్ రా పోరు నెగ్గి, కాలం మారి కాలరెగరేసేట్టు కొత్త కథ రాసేట్టు, కలేజా చూపాలిరా పట్టుబట్టి చెమటబొట్టు చిందేట్టు చందమామ అందేట్టు పోరాడి తీరాలిరా. వీ ఐ పీ డస్టుపడ్డ డైమండ్ మనమే, వీ ఐ పీ యంగ్ తరంగ్ ఇండియా మనమే, వీ ఐ పీ బ్రాండ్ న్యూ హిస్టరీ మనమే, పూరా సత్తువుంది దిల్ మే. బలం మన బలం, ఒక ప్రభంజనం అని చాటి చెబుదాం, గలం చెయ్యగలం అని కుంభస్థలం గురి చూసి కొడదాం, సైన్యంగా పెను స్థైర్యంగా చిమ్మచీకటిని వెలిగిద్దాం, ధైర్యంగా ఘన కార్యంగా యువతరం శక్తి చూపిద్దాం. వీ ఐ పీ డస్టుపడ్డ డైమండ్ మనమే, వీ ఐ పీ యంగ్ తరంగ్ ఇండియా మనమే, వీ ఐ పీ బ్రాండ్ న్యూ హిస్టరీ మనమే, పూరా సత్తువుంది దిల్ మే."
Pranaamam,Upbeat,2016,Shankar Mahadevan,"ప్రణామం ప్రణామం ప్రణామం ప్రభాత సూర్యుడికి ప్రణామం. ప్రణామం ప్రణామం ప్రణామం సమస్తా ప్రకృతికి ప్రణామం. ప్రమోదం ప్రమోదం ప్రమోదం ప్రతి సృష్టి చిత్రం ప్రమోదం. ప్రయాణం ప్రయాణం ప్రయాణం విశ్వంతో మమేకం ప్రయాణం. మన చిరునవ్వులే పూలు, నిట్టూర్పులే తడి మేఘాలు. హృదయమే గగనం, రుధిరమేసంద్రం. ఆశే పచ్చదనం, మారే ఋతువుల్లా వర్ణం. మన మనసుల భావోద్వేగం, సరిగా చూస్తే ప్రకృతి మొత్తం, మనలో ప్రతిబింబం. నువ్వెంత నేనెంత రవ్వంత, ఎన్నో యెల్లది సృష్టి చరిత. అనుభవమే దాచింది కొండంత, తన అడుగుల్లో అడుగేసి, వెళదాం జన్మంతా. ప్రేమించే పెధమ్మే ఈ విశ్వం, ఇష్టాంగా గుండెకు హతుకుందాం, కన్నెర్రే కన్నీరై ఓ కొంచెం, తల్లడిల్లిందో ఈ తల్లి, ఏ ఒక్కరు మిగలం. ప్రణామం ప్రణామం ప్రణామం ప్రభాత సూర్యుడికి ప్రణామం. ప్రణామం ప్రణామం ప్రణామం సమస్త ప్రకృతికి ప్రణామం"
Jayaho Janatha,Upbeat,2016,"Sukhwinder Singh,Vijay Prakash",ఎవ్వరు ఎవ్వరు వీరెవరు ఎవరికి వరుసకి ఏమవరూ అయినా అందరి బంధువులు జయహో జనతా ఒక్కరు కాదు ఏడుగురూ దేవుడు పంపిన సైనికులు సాయం చేసే సాయుధులు జయహో జనతా వెనుకడుగైపోరు మనకెందుకు అనుకోరు జగమంతా మనదే పరివారం అంటారు ప్రాణం పోతున్నా ప్రమాదం అనుకోరు పరులకు వెలుగిచ్చే ధ్యేయంగా పుట్టారు ఎవ్వరు ఎవ్వరు వీరెవరు ఎవరికి వరుసకి ఏమవరూ అయినా అందరి బంధువులు జయహో జనతా ఒక్కరు కాదు ఏడుగురూ దేవుడు పంపిన సైనికులు సాయం చేసే సాయుధులు జయహో జనతా ఆపదలో నిట్టూర్పు అది చాల్లే వీరికి పిలుపు దూసుకుపోతారు దుర్మార్గం నిలిపేలా ఎక్కడికక్కడ తీర్పు వీరందించే ఓదార్పు తోడైవుంటారు తోబుట్టిన బంధంలా మనసే చట్టంగా ప్రతి మనిషికి చుట్టంగా మేమున్నామంటారు కన్నీళ్లల్లో నవ్వులు పూయిస్తూ ఎవ్వరు ఎవ్వరు వీరెవరు ఎవరికి వరుసకి ఏమవరూ అయినా అందరి బంధువులు జయహో జనతా ఒక్కరు కాదు ఏడుగురూ దేవుడు పంపిన సైనికులు సాయం చేసే సాయుధులు జయహో జనతా ధర్మం గెలవని చోట తప్పదు కత్తుల వేట తప్పూ ఒప్పేదో సంహారం తరువాత రణమున భగవద్గీత చదివింది మన గతచరిత రక్కసి మూకలకు బ్రతికే హక్కే లేదంటా ఎవరో వస్తారు మనకేదో చేస్తారు అని వేచే వేదనకూ జవాబే ఈ జనతా ఎవ్వరు ఎవ్వరు వీరెవరు ఎవరికి వరుసకి ఏమవరూ అయినా అందరి బంధువులు జయహో జనతా ఒక్కరు కాదు ఏడుగురూ దేవుడు పంపిన సైనికులు సాయం చేసే సాయుధులు జయహో జనతా
Yaa Yaa,Upbeat,2016,"Anjana sowmya,K.S. Chitra,Abhay Jodhpurkar",హే రామ్ములగా బుగ్గలవాడా బురుజుగోడ నిబ్బరాలా కండలవాడా రాజాంపేటా లాగుల కాడా కలుసుకుంట కాసులపేరు పట్టకరారా అల్లాబక్షు అత్తరు తెచ్చా కొత్తపేట కోకా రైకా కట్టుకొచ్చా రంగవెళ్లే రైలుబండి రయ్యిమంది పెట్టేబేడా పట్టుకొచ్చా. నిద్దర చాలని బద్దకమల్లే ఒళ్ళిరిచిందీ ఆకాశం రాతిరి దాచిన రబ్బరు బంతై తిరిగొచ్చిందీ రవిబింబం వెలుతురు మోస్తూ దిగివస్తున్నది గాల్లో గువ్వల పరివారం సెల్యూట్ చేసే సైనికులల్లే స్వాగతమందీ పచ్చదనం మౌనంగా ధ్యానంలో ఉందీ మాగాణం. చిట్టి వడ్రంగి పిట్టల టిక్కూ టిక్కూ కొమ్మ రెమ్మల్లో మైనాల కుక్కూ కుక్కూ ఇదిపల్లెకి తెలిసిన మెలొడీయా యయా యయా యయా యయా యయా యయా యయా యయా య యా ముగ్గులూ ముంగిళ్ళూ య యా ప్రేమలూ నట్టిళ్ళూ య యా చూడగా చాలేనా రెండే కళ్ళు య యా పువ్వులూ పుప్పొళ్ళూ య యా పంటలూ నూర్పిళ్లూ య యా పండగలు తిరణాళ్లూ ఈ పచ్చిగాలి జోలలూ నచ్చనోళ్లు లేరట. కళ్ళాపి చల్లాలి రాయేందె రంగమ్మా కవ్వాలు తిప్పాలి కానియ్యె గంగమ్మా కావిళ్లు మొయ్యాలి కడవిట్ట ఇయ్యమ్మా పొద్దెక్కి పోతాంది ఇంకా ఆలస్యమా యయా యయా యయా యయా యయా యయా యయా యయా యయా యయ యయా యయా కోపాల గోపాల అలకేలరా దీపాల వేళాయే అగుపించరా కోపాల గోపాల అలకేలరా చీకటి వేళకి నీ పంచన చేరని మనసిది శమించునా వెన్నని మన్నని దొసములెన్నను చెల్లాట చాలించరా. అల్లరి చేష్టల దండించనా అక్కున జేరిచి లాలించనా నెమ్మది చెదిరిన అమ్మను చూడగ బిరాన రారా దొరా కోపాల గోపాల కోపాల గోపాల కోపాల గోపాల అలకేలరా దీపాల వేళాయే అగుపించరా.
Naatu Naatu,Upbeat,2022,"Rahul Sipligunj,Kaala Bhairava",పొలం గట్టు దుమ్ములోన పోట్ల గిత్త దూకినట్టు పోలేరమ్మ జాతరలో పోతరాజు ఊగినట్టు కిర్రు సెప్పులేసుకుని కర్రసాము సేసినట్టు మర్రిసెట్టు నీడలోన కుర్రగుంపు కూడినట్టు ఎర్రజొన్న రొట్టెలోన మిరప తొక్కు కలిపినట్టు నా పాట సూడు నా పాట సూడు నా పాట సూడు నాటు నాటు నాటు నాటు నాటు నాటు నాటు వీర నాటు నాటు నాటు నాటు నాటు నాటు నాటు ఊర నాటు నాటు నాటు నాటు నాటు గడ్డపార లాగ చెడ్డ నాటు నాటు నాటు ఉక్కపోత లాగ తిక్క నాటు భూమి దద్దరిల్లేలా వొంటిలోని రగతమంతా రంకెలేసి ఎగిరేలా ఏసేయరో యకాయకి నాటు నాటు నాటో దుమ్ము దుమ్ము దులిపేలా లోపలున్న పానమంతా దుముకు దుముకులాడేలా దూకేయరో సరాసరి నాటు నాటు నాటో హే అది డా నాకరా డా నాకరా డా నాకరా నాకరా నాకరా నాకరా నాకరా నాకరా
Ye Cheekati,Upbeat,2007," Ranjith,Sunitha Sarathy",ఏ చీకటి చెరిపేయని కలలే కనాలి ఆ వేకువే దరి చేరగా నిజమే అవాలి ఈ చెలిమి సాక్షిగా కాలమే ఆగిపోనీ స్నేహాల తీరమే చేరువై రానీ ఓ ఓ ఒఓ ఓ ఓ ఒఓ కలలే కనాలి ఓ ఓ ఒఓ ఓ ఓ ఒఓ నిజమే అవాలి పదే పదే పాడుకోవాలి మదే ఇలా హాయి రాగమే ప్రతి క్షణం పాఠమవ్వాలి అదే కదా జీవితాన రావలె సైనార. సైనార కలతే పడకు కల నిజమయ్యే వరకు గెలుపే తుదకు వెలుగే లేదనుకోకు ఊరెగనీ మన ఊహలే ఆ తారలే తాకేలా ఓ ఓ ఒఓ ఓ ఓ ఒఓ కలలే కనాలి ఓ ఓ ఒఓ ఓ ఓ ఒఓ నిజమే అవాలి పదే పదే పాడుకోవాలి మదే ఇలా హాయి రాగమే ప్రతి క్షణం పాఠమవ్వాలి అదే కదా జీవితాన రావలె ఓ ఓ ఒఓ ఓ ఓ ఒఓ ఓ ఓ ఒఒఓ
Ramuloo Ramula,Upbeat,2020,"Mangli,Anurag Kulkarni",బంటు గానికి ట్వంటీ టూ బస్తీల మస్తు కట్ -ఔటూ బచ్చగాండ్ల బ్యాచ్ ఉండేది వొచ్చినమంటే సూట్టు కిక్కే సాలక ఓ నైట్ ఉ ఎక్కి దోక్కు బుల్లెట్టు సందు సందుల మందు కోసం ఎత్తుకుతాంటే రూటూ. సిల్కు శీర కట్టుకొని చిల్డ్ బీరు మెరిసినట్టు పొట్లం కట్టిన బిర్యానీకి బొట్టు బిళ్ళ వెట్టినట్టు బంగ్లా మీద నిలుసోనున్దిరో ఓ సందమామ సుక్క దాగాక షక్కరొచెరో ఎం అందం మామ జింక లెక్క దూకుతుంటేరో ఆ సందమావ జుంకీ జారీ చిక్కుకుందిరో నా దిలుకు మావ. రాములో రాములా నాన్నగామ్ చేశిందిరో రాములో రాములా నా పాణం తిషిందిరో రాములో రాములా నాన్నగామ్ చేశిందిరో రాములో రాములా నా పాణం తిషిందిరో. రాములో రాములా నాన్నగామ్ చేశిందిరో రాములో రాములా నా పాణం తిషిందిరో రాములో రాములా నాన్నగామ్ చేశిందిరో రాములో రాముల నా పాణం తిషిందిరో. ఏయ్ తమ్మలపాకె ఎస్తుంటే కమ్మగా వాసన వొస్తావే ఎర్రగా పండిన బుగ్గలు రెండు యాదియికొస్తాయే అరేయ్ పువ్వుల అంగీ ఎస్తుంటే గుండీ నువ్వై పూస్తావే పండూకున్న గుండెల దూరి లొల్లే చేస్తావే. అరేయ్ ఇంటి ముందు లైటు మిళుకు మిళుకు మంటుంటే నువ్వు కన్ను కొట్టినట్టు సిగ్గు పుట్టిందే సీరకొంగు తలుపు సాటు సిక్కుకుంటే ఏహేయ్ నువ్వు లాగినట్టు వొళ్ళు జల్లుమంటాన్ధే నాగస్వరం ఊదుతుంటే నాగుపాము ఊగినట్టు ఏంటబడి వస్తున్న ని పట్టా గొలుసు సప్పుడింటు పట్టనట్టే తిరుగుతున్నవే ఓ సందమామ పక్కకు పోయి తొంగి చూస్తావే ఎం టెక్కురా మావ.
Bheemla Nayak,Upbeat,2022,"Thaman S,Sri Krishna,Prudhvi Chandra,Ram Miriyala",ఆడాగాదు ఈడాగాదు అమీరోల్లో మేడాగాదు గుర్రంనీల్లా గుట్టాకాడ అలుగూ వాగు తాండాలోన బెమ్మాజెముడు చెట్టున్నాది. బెమ్మజెముడూ చెట్టూకింద అమ్మా నెప్పులు పడతన్నాది ఎండాలేదు రేతిరిగాదు ఏగూసుక్కా పొడవంగానే పుట్టిండాడు పులిపిల్ల. పుట్టిండాడు పులిపిల్ల నల్లామల తాలూకాల అమ్మా పేరు మీరాబాయి నాయన పేరు సొమ్లా గండు. నాయన పేరు సోమ్లా గండు తాతా పేరు బహద్దూర్ ముత్తులతాత ఈర్యానాయక్. పెట్టిన పేరు భీమ్లానాయక్. సెభాష్ భీమ్లానాయకా. భీమ్లానాయక్ భీమ్లానాయక్. ఇరగదీసే ఈడి ఫైరు సల్లగుండ ఖాకీ డ్రెస్సు పక్కనెడితే వీడే పెద్దగూండా. నిమ్మళంగ కనబడే నిప్పుకొండ ముట్టుకుంటే తాట లేసిపోద్ది తప్పకుండా. ఇస్తిరి నలగని చొక్కా పొగరుగ తిరిగే తిక్కచెమడాలొలిచే లెక్క కొట్టాడంటే పక్కా విరుగును బొక్క. భిం భీం భీం భీం భీమ్లానాయక్ బుర్ర రాం కీర్తన పాడించే లాఠీ గాయక్. భీం భీం భీం భీం భీమ్లానాయక్ దంచి దడదడదడలాడించే డ్యూటి సేవక్. ఆ జుట్టునట్టా సవరించినాడో సింగాలు జూలు విదిలించినట్టే. ఆ షర్టునట్టా మడతెట్టినాడో రంగాన పులులు గాండ్రించినట్టే. ఆ కాలి బూటు బిగ్గట్టినాడో తొడగొట్టి వేట మొదలెట్టినట్టే. భీమ్లానాయక్ భీమ్లానాయక్. ఎవ్వడైన ఈడి ముందు గడ్డిపోస ఎర్రి గంతులేస్తే ఇరిగిపోద్ది ఎన్నుపూస కుమ్మడంలో విడే ఒక బ్రాండు తెల్సా వీడి దెబ్బతిన్న ప్రతివోడు పాస్టు టెన్సా నడిచే రూటే స్ట్రెయిటు పలికే మాటే రైటు టెంపరుమెంటే హాటు పవరుకు ఎత్తిన గేటు ఆ నేమ్ ప్లేటు
Vadu Nadipe Bandi,Upbeat,2019,Mangli,"వాడు నడిపే బండీ రాయల్ ఎన్.ఫీల్డు వాడి చూపుల్లోఉంది చెగువేర ట్రెండు. వాడు నడిపే బండీ రాయల్ ఎన్ ఫీల్డు వాడి చూపుల్లోఉంది చెగువేర ట్రెండు. వాడు వస్తుంటే వీధంతా ఇంజను సౌండు, మోగిపోతుందే గుండెల్లో చెడుగుడు బ్యాండు, చెప్పకుండానే అయిపోయా నే గాళ్ ఫ్రెండు. వాడు నడిపే బండీ రాయల్ ఎన్ ఫీల్డు వాడి చూపుల్లోఉంది చెగువేర ట్రెండు. ఊపిరినే మెలిపెట్టి లాగేస్తుందే, నేను ఎక్కడాఉన్నా వాడి అత్తరుఘాటు, నిద్దరలో పొద్దల్లే కవ్విస్తుందే. వాడు కాలేజి క్యాంటిన్ లో కూర్చునే చోటు. అడవిని తలపించే వాడి తలపై క్రాఫు, ఏ దునియాలో దొరకదె ఆ బాడీ మ్యాపు, నన్నెగరేసుకు పోయాడే వాడితొపాటు. వాడు నడిపే బండీ రాయల్ ఎన్ ఫీల్డు వాడి చూపుల్లోఉంది చెగువేర ట్రెండు. వేగంగా నావైపే దూసుకువచ్చి, నాకు దూరంగా వెళుతుంటే ఆగదు మనసూ, ఒంటరిగా ఒక్కడలా తిరుగుతుఉంటే, నన్ను వేధించే వాడివెనుక ఖాళీ సీటు, దారులు చూపించు వాడి చూపుడువేలు, చుట్టుకోవాలని ఉంది వాడి చిటికెనవేలు. ఏడడుగులేసి ఇచ్చుకుంట నావందేళ్లు. వాడు నడిపే బండీ రాయల్ ఎన్ ఫీల్డు వాడి చూపుల్లోఉంది చెగువేర ట్రెండు. వాడు నడిపే బండీ రాయల్ ఎన్ ఫీల్డు వాడి చూపుల్లోఉంది చెగువేర ట్రెండు."
Race Gurram,Upbeat,2014,"Ranina Reddy,Sagar",రేస్ గుర్రం గుర్రం గుర్రం గుర్రం గుర్రం హే దుమ్ము రేపే ఆపరేషన్ దమ్ము ఆప్ మాస్ ఆక్షన్ దిమ్మ రేగే నాటు ఫ్యాక్షన్ రేస్ గుర్రం దూసుకెళ్లే బులెట్ సెషన్ సౌండ్ లేని మైండ్ విషన్ బెండు తీసే బాండ్ ఫిక్షన్ రేస్ గుర్రం వీడు వెంటాడే వెంటాడే బ్యాక్ వెపన్ వీడు భూకంపం పుట్టించే బాంబు సైరెన్ రేస్ గుర్రం రేస్ గుర్రం రేస్ గుర్రం హే చిచ్చు పెట్టె షాక్ బటన్ రెచ్చి కొట్టే స్పార్క్ ఘటం దంచికొట్టే ఫైట్ స్లోగన్ రేస్ గుర్రం హే తీగ కళ్ళే డేరా డిజైన్ ఊపు తీసే కెవ్వు సెషన్ గెస్ లేని ఫోర్స్ మిషన్ రేస్ గుర్రం వీడు కాలాన్ని శాశించే శివుడి వెపన్ వీడు అన్నాడే చూసేసి వార్ సైరెన్ రేస్ గుర్రం రేస్ గుర్రం రేస్ గుర్రం రేస్ గుర్రం గుర్రం గుర్రం గుర్రం గుర్రం. హే దుమ్ము రేపే ఆపరేషన్. దమ్ము ఆప్ మాస్ ఆక్షన్. దిమ్మ రేగే నాటు ఫ్యాక్షన్ రేస్ గుర్రం. దూసుకెళ్లే బులెట్ సెషన్ సౌండ్ లేని మైండ్ విషన్. బెండు తీసే బాండ్ ఫిక్షన్ రేస్ గుర్రం. వీడు వెంటాడే వెంటాడే బ్యాక్ వెపన్. వీడు భూకంపం పుట్టించే బాంబు సైరెన్. రేస్ గుర్రం రేస్ గుర్రం రేస్ గుర్రం. హే చిచ్చు పెట్టె షాక్ బటన్. రెచ్చి కొట్టే స్పార్క్ ఘటం. దంచికొట్టే ఫైట్ స్లోగన్ రేస్ గుర్రం. హే తీగ కళ్ళే డేరా డిజైన్. ఊపు తీసే కెవ్వు సెషన్. గెస్ లేని ఫోర్స్ మిషన్ రేస్ గుర్రం. వీడు కాలాన్ని శాశించే శివుడి వెపన్. వీడు అన్నాడే చూసేసి వార్ సైరెన్. రేస్ గుర్రం రేస్ గుర్రం రేస్ గుర్రం.
